title;price;discount;discount_price;release_date
Sea of Thieves 2023 Edition;39.99;50%;19.99;19.03.2018
Sea of Thieves Deluxe Edition;49.99;50%;24.99;15.03.2023
Minecraft: Deluxe Collection;29.99;-;-;06.12.2022
Assassin's Creed® Вальгалла;59.99;75%;14.99;10.11.2020
Assassin's Creed® Вальгалла Deluxe Edition;79.99;-;-;05.08.2021
Assassin's Creed Вальгалла Ragnarök Edition;99.99;-;-;09.04.2022
Набор Assassin's Creed Вальгалла + Immortals Fenyx Rising;109.99;75%;27.49;15.03.2021
Набор Assassin’s Creed Вальгалла + Watch Dogs: Legion;129.99;75%;32.49;08.02.2021
Assassin's Creed Вальгалла Complete Edition;139.99;-;-;09.04.2022
"Assassin's Creed - набор ""Мифология""";159.99;75%;39.99;09.01.2022
Red Dead Redemption 2;Недоступно по отдельности;-;-;-
Red Dead Online;19.99;50%;9.99;01.12.2020
Red Dead Redemption 2;59.99;67%;19.79;26.10.2018
Red Dead Redemption 2: Ultimate Edition;99.99;-;-;26.10.2018
Tom Clancy's Rainbow Six® Осада Deluxe Edition;39.99;67%;13.19;07.03.2023
Tom Clancy's Rainbow Six® Осада Operator Edition;79.99;-;-;07.03.2023
Tom Clancy's Rainbow Six® Осада Ultimate Edition;99.99;45%;54.99;07.03.2023
Halo: Коллекция Мастера Чифа;39.98;75%;9.99;14.11.2019
UFC® 4;59.99;80%;11.99;13.08.2020
UFC® 4 Издание Deluxe;69.99;80%;13.99;19.11.2020
Farming Simulator 22;49.99;-;-;21.11.2021
Farming Simulator 22 - Platinum Edition;59.99;-;-;14.11.2022
Farming Simulator 22 - YEAR 1 Bundle;87.99;-;-;21.11.2021
Gang Beasts;19.99;-;-;27.03.2019
Redfall;69.99;-;-;02.05.2023
Redfall Bite Back Edition;99.99;-;-;02.05.2023
Издание Diablo® Prime Evil Collection;59.99;-;-;23.09.2021
Diablo® II: Resurrected™;39.99;-;-;23.09.2021
Издание Diablo® Prime Evil;49.99;-;-;23.09.2021
ARK: Survival Evolved;19.99;-;-;29.08.2017
ARK: Ultimate Survivor Edition;49.99;-;-;27.05.2021
Resident Evil 4;59.99;-;-;23.03.2023
Resident Evil 4 Deluxe Edition;69.99;-;-;24.03.2023
No title;-;-;-;-
Red Dead Online;19.99;50%;9.99;01.12.2020
Red Dead Redemption 2;59.99;67%;19.79;26.10.2018
Red Dead Redemption 2: Ultimate Edition;99.99;-;-;26.10.2018
Who's Your Daddy?!;9.99;-;-;05.01.2022
FIFA 22 Xbox One;Недоступно по отдельности;-;-;-
No title;-;-;-;-
Grand Theft Auto: The Trilogy – The Definitive Edition;59.99;50%;29.99;11.11.2021
STAR WARS™ Battlefront™ II;19.99;-;-;17.11.2017
STAR WARS™ Battlefront™ II: Праздничное издание;39.99;75%;9.99;05.12.2019
ТРОЙНОЙ КОМПЛЕКТ EA STAR WARS™;89.99;-;-;03.12.2020
Monster Hunter Rise;39.99;50%;19.99;19.01.2023
Monster Hunter Rise Deluxe Edition;49.99;50%;24.99;20.01.2023
Monster Hunter Rise + Sunbreak;59.99;-;-;28.04.2023
Monster Hunter Rise + Sunbreak Deluxe;69.99;-;-;28.04.2023
Left 4 Dead 2;Недоступно по отдельности;-;-;-
Halo Infinite (кампания);59.99;50%;29.99;08.12.2021
NBA 2K23 Michael Jordan Edition;59.99;65%;20.99;08.09.2022
NBA 2K23 Digital Deluxe Edition;44.99;-;-;08.09.2022
Набор PGA TOUR 2K23 x NBA 2K23;99.99;70%;29.99;13.12.2022
WWE 2K23 для Xbox One;59.99;33%;40.19;16.03.2023
Издание WWE 2K23 Cross-Gen Digital;69.99;33%;46.89;16.03.2023
Издание WWE 2K23 Deluxe;99.99;-;-;13.03.2023
Издание WWE 2K23 Icon;119.99;33%;80.39;13.03.2023
PUBG: BATTLEGROUNDS;Бесплатно;-;-;04.09.2018
Assassin's Creed® IV Black Flag™;29.99;60%;11.99;28.08.2014
Набор AC: Черный флаг, Единство, Синдикат;89.99;-;-;26.04.2016
Call of Duty®: Black Ops Cold War;59.99;-;-;16.12.2020
Call of Duty®: Black Ops Cold War - набор 'Два поколения';69.99;60%;27.99;16.12.2020
Red Dead Redemption;16.29;-;-;21.05.2010
Assassin’s Creed Единство;29.99;-;-;13.11.2014
Набор AC: Черный флаг, Единство, Синдикат;89.99;-;-;26.04.2016
Red Dead Redemption 2: Ultimate Edition;99.99;-;-;26.10.2018
Red Dead Online;19.99;50%;9.99;01.12.2020
Red Dead Redemption 2;59.99;67%;19.79;26.10.2018
Сюжетный режим Red Dead Redemption 2 и материалы из издания Ultimate Edition;79.99;-;-;01.12.2020
Cyberpunk 2077;Недоступно по отдельности;-;-;-
Rec Room;Бесплатно;-;-;03.12.2020
Mortal Kombat XL;19.99;80%;3.99;01.03.2016
Dying Light 2 Stay Human;59.99;50%;29.99;04.02.2022
Infected Cowboys Bundle;69.99;-;-;21.05.2023
True Survivors Bundle;79.99;-;-;23.05.2023
Dying Light 2 Stay Human - Deluxe Edition;79.99;-;-;03.02.2022
Dying Light 2 Stay Human - Ultimate Edition;99.99;30%;69.99;03.02.2022
Assassin's Creed® The Ezio Collection;49.99;-;-;17.11.2016
Five Nights at Freddy's: Original Series;31.49;-;-;29.10.2020
Fallout: New Vegas;9.99;70%;2.99;19.04.2011
HITMAN World of Assassination;69.99;50%;34.99;20.01.2022
Plants vs. Zombies™ Garden Warfare 2;19.99;-;-;23.02.2016
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition;24.99;-;-;23.02.2016
Семейный набор от EA;39.99;-;-;28.12.2016
Grounded;39.99;33%;26.79;27.09.2022
Madden NFL 21 Xbox One;Недоступно по отдельности;-;-;-
Call of Duty®: WWII;Недоступно по отдельности;-;-;-
Call of Duty®: WWII - Gold Edition;59.99;-;-;08.05.2018
Call of Duty®: WWII - Digital Deluxe;99.99;-;-;03.11.2017
Call of Duty®: Black Ops Cold War - Xbox Series X|S;Недоступно по отдельности;-;-;-
